순위,사업자 등록번호,업체명,대표,경쟁사 분석,투찰금액,가격점수,예가대비 투찰률(%)  A,기초대비 투찰률(%),순공사대비 사정률(%),추첨번호,투찰일시,비고
94,1138183325,주식회사금강전력,오영선,분석,61031620,85.0,89.761,90.07,-0.1434 (99.8566),11 9,2022/09/26 16:32:17,
95,2168701696,주식회사 투비콤,유수정,분석,61032180,85.0,89.762,90.071,-0.1424 (99.8576),5 11,2022/09/30 09:19:58,
96,1068167098,코스믹전기통신 주식회사,이규선,분석,61034320,85.0,89.765,90.074,-0.1389 (99.8611),10 3,2022/09/28 08:40:24,
97,2028159713,거산음향통신(주),김기만,분석,61035170,85.0,89.767,90.075,-0.1375 (99.8625),10 14,2022/09/27 15:31:57,
98,1428168147,주식회사 다옴건설,이창석,분석,61035230,85.0,89.767,90.075,-0.1374 (99.8626),4 1,2022/09/29 09:54:51,
99,8908701311,(주)에이디넷,주종명,분석,61035580,85.0,89.767,90.076,-0.1369 (99.8631),14 2,2022/09/30 08:53:39,
100,4468801407,(주)큐엔큐,장나미,분석,61035910,85.0,89.768,90.076,-0.1363 (99.8637),4 15,2022/09/27 17:19:36,
101,5138100034,주식회사 비엔지티,조상환,분석,61038298,85.0,89.772,90.08,-0.1324 (99.8676),1 15,2022/09/26 14:41:15,
102,1108175530,주식회사창조씨엔에스,정혜경,분석,61038350,85.0,89.772,90.08,-0.1323 (99.8677),5 1,2022/09/28 08:29:27,
103,1488100811,주식회사 세명테크,박정필,분석,61039980,85.0,89.774,90.082,-0.1297 (99.8703),9 1,2022/09/27 09:15:50,
104,1138141456,(주)나우아이앤씨,이미화,분석,61040058,85.0,89.774,90.082,-0.1295 (99.8705),12 13,2022/09/30 09:37:49,
105,1068642694,우림정보시스템(주),조원희,분석,61040340,85.0,89.775,90.083,-0.1291 (99.8709),6 7,2022/09/28 09:30:39,
106,1138139080,(주)성강통신기술사사무소,안치영,분석,61040490,85.0,89.775,90.083,-0.1288 (99.8712),7 10,2022/09/30 09:20:26,
107,1168155492,주식회사 코콤텍,고성춘,분석,61041530,85.0,89.777,90.084,-0.1271 (99.8729),10 15,2022/09/28 11:21:29,
108,1178158978,주식회사 화일이엔에프,박광섭,분석,61042380,85.0,89.778,90.086,-0.1257 (99.8743),3 5,2022/09/28 14:40:51,
109,1058747280,주식회사 하이디,문이수,분석,61044049,85.0,89.781,90.088,-0.1230 (99.877),8 5,2022/09/27 02:17:33,
110,1078738017,(주)애린테크,박을순,분석,61044160,85.0,89.781,90.088,-0.1228 (99.8772),12 13,2022/09/28 13:38:50,
