순위,사업자 등록번호,업체명,대표,경쟁사 분석,투찰금액,가격점수,예가대비 투찰률(%)  A,기초대비 투찰률(%),기초대비 사정률(%)  A,추첨번호,투찰일시,비고
-177,2208691701,주식회사 뉴젠스,임영필,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-178,1408116911,주식회사 엑스컴정보통신,장일훈,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-179,2208151999,현대통신(주),이건구,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-180,1278185676,주식회사 삼화종합건설,박석운,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-181,1268109826,(주)한진,홍성곤,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-182,1328165629,서진전력 주식회사,김규옥,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-183,1068180183,보람정보통신서비스(주),안창진,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-184,2048190516,주식회사동훈전설,정준모,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-185,1378100301,청원정보통신(주),원정현,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-186,1188110211,(주)텔레텍코리아,윤광수,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-187,1261920163,우주특수AV,정하송,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-188,1108140593,(주)대건이엔씨,이황희,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-189,1098160416,(주)용진정보통신,도용석,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-190,6088121472,주식회사 명진정보통신,김지선,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-191,2338109463,주식회사 아이티에스서비스,지영일,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-192,1268650320,(주)만양,이상미,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-193,8978600655,주식회사 넥서스티앤씨,박용남,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-194,2158173822,삼일씨티에스(주),최종원,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-195,1278117843,두원산업 주식회사,김원각,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-196,2158621241,주식회사 비욘드커뮤니케이션,한정은,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-197,2128145574,콤시스(주),서경환,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-198,1328604705,태영건설산업 주식회사,이기용,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-199,6478101447,부광아이티 주식회사,정상일,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-200,4178600013,블랙썬 주식회사,이희부,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-201,1068123348,주식회사 우진기전,장창익,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-202,1238644305,나성산업 주식회사,정을순,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-203,1278199767,주식회사 신한전력,신한철,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-204,2148161231,(주)유엔터스,김정환,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-205,1358159709,보령전력 주식회사,이병길,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-206,1018195473,건영정보통신(주),이병옥,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-207,2228128913,주식회사 대양종합전기,김춘근,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-208,1248690777,성진이앤씨 주식회사,구청수,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-209,1278165350,극동정보기술(주),이정훈,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-210,1358642450,동호이앤씨 (주),박동호,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-211,2068625393,주식회사 성림전설,박상동,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-212,2118606665,주식회사 아라랏,오선환,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-213,8048600314,주식회사 파로스,강명숙,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-214,2118668579,(주)아이정보기술,이훈희,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-215,1268188777,(주)경기기술공사,심민섭,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-216,2108118504,보성전기산업(주),강명구,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-217,1378608138,주식회사 지엠티,정윤성,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-218,2148632162,신영전자통신(주),김성식,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
