순위,사업자 등록번호,업체명,대표,경쟁사 분석,투찰금액,가격점수,예가대비 투찰률(%)  A,기초대비 투찰률(%),기초대비 사정률(%)  A,추첨번호,투찰일시,비고
79,1358188617,주식회사 지에프씨코리아,안병모,분석,377718400,79.0,88.054,88.603,0.14793 (100.14793),9 2,2023/05/22 16:52:33,
80,2158687767,(주)에스앤디비즈,정성호,분석,377742000,78.8,88.06,88.609,0.15424 (100.15424),5 4,2023/05/18 14:41:36,
81,1348120104,(주)씨월드정보기술,남형연,분석,377762677,78.6,88.065,88.614,0.15977 (100.15977),11 4,2023/05/22 15:29:35,
82,1058601287,(주)성산정보시스템,김기주,분석,377763369,78.6,88.065,88.614,0.15996 (100.15996),3 15,2023/05/22 16:57:19,
83,1128126393,주식회사 승도이엔씨,신종성,분석,377772500,78.6,88.067,88.616,0.16240 (100.1624),14 2,2023/05/23 09:30:37,
84,2118691240,거성일렉콤(주),박성래,분석,377780313,78.6,88.069,88.618,0.16449 (100.16449),12 4,2023/05/18 09:16:50,
85,2128196243,신광씨앤티 주식회사,박광선,분석,377798930,78.6,88.074,88.622,0.16946 (100.16946),4 11,2023/05/18 15:53:14,
86,2130230588,태극정보통신,이상호,분석,377804178,78.4,88.075,88.623,0.17087 (100.17087),8 3,2023/05/22 21:41:38,
87,2018633767,주식회사 명진에스앤씨,이성훈,분석,377818870,78.4,88.079,88.627,0.17479 (100.17479),8 3,2023/05/22 09:45:42,
88,2048188475,주식회사 오파스넷,장수현,분석,377821500,78.4,88.079,88.627,0.17550 (100.1755),2 4,2023/05/22 09:53:54,
89,1288138083,주식회사 유앤후레쉬,우재명,분석,377840790,78.4,88.084,88.632,0.18065 (100.18065),2 1,2023/05/22 20:49:50,
90,1058191993,링크정보통신주식회사,이재호,분석,377848000,78.2,88.086,88.634,0.18258 (100.18258),7 8,2023/05/23 09:44:27,
91,1098651964,셀코정보기술 주식회사,권영용,분석,377855530,78.2,88.088,88.635,0.18459 (100.18459),2 6,2023/05/23 08:00:29,
92,1138658592,위너시스텍 주식회사,조용걸,분석,377859100,78.2,88.089,88.636,0.18555 (100.18555),6 4,2023/05/22 15:59:28,
93,1138604679,(주) 투데이게이트,김익훈,분석,377869740,78.2,88.091,88.639,0.18839 (100.18839),7 9,2023/05/23 09:19:34,
94,1018211295,사단법인 한국장애인이워크협회,조무호,분석,377872000,78.2,88.092,88.639,0.18900 (100.189),15 13,2023/05/22 16:59:24,
95,1078162422,프라미스유 주식회사,박정은,분석,377885080,78.0,88.095,88.642,0.19249 (100.19249),1 10,2023/05/23 07:43:16,
